label,name,c1,c2,c3,id,val_fs,cortical,alpha
0,Unknown,0,0,0,0,0,0,0
16,Brain-Stem,119,159,176,1,11575159,0,0
8,Left-Cerebellum-Cortex,230,148,34,2,2266342,0,0
10,Left-Thalamus-Proper,0,118,14,3,947712,0,0
11,Left-Caudate,122,186,220,4,14465658,0,0
12,Left-Putamen,236,13,176,5,11537900,0,0
13,Left-Pallidum,12,48,255,6,16723980,0,0
17,Left-Hippocampus,220,216,20,7,1366236,0,0
18,Left-Amygdala,103,255,255,8,16777063,0,0
26,Left-Accumbens-area,255,165,0,9,42495,0,0
,FreeSurfer_Defined_Medial_Wall,1,1,1,10,65793,1,0
,17Networks_1,120,18,134,11,8786552,1,0
,17Networks_2,255,0,0,12,255,1,0
,17Networks_3,70,130,180,13,11829830,1,0
,17Networks_4,42,204,164,14,10800170,1,0
,17Networks_5,74,155,60,15,3971914,1,0
,17Networks_6,0,118,14,16,947712,1,0
,17Networks_7,196,58,250,17,16399044,1,0
,17Networks_8,255,152,213,18,13998335,1,0
,17Networks_9,220,248,164,19,10811612,1,0
,17Networks_10,122,135,50,20,3311482,1,0
,17Networks_11,119,140,176,21,11570295,1,0
,17Networks_12,230,148,34,22,2266342,1,0
,17Networks_13,135,50,74,23,4862599,1,0
,17Networks_14,12,48,255,24,16723980,1,0
,17Networks_15,0,0,130,25,8519680,1,0
,17Networks_16,255,255,0,26,65535,1,0
,17Networks_17,205,62,78,27,5127885,1,0
47,Right-Cerebellum-Cortex23014834,230,148,34,28,2266342,0,0
49,Right-Thalamus-Proper011814,0,118,14,29,947712,0,0
50,Right-Caudate122186220,122,186,220,30,14465658,0,0
51,Right-Putamen23613176,236,13,176,31,11537900,0,0
52,Right-Pallidum1348255,13,48,255,32,16723981,0,0
53,Right-Hippocampus22021620,220,216,20,33,1366236,0,0
54,Right-Amygdala103255255,103,255,255,34,16777063,0,0
58,Right-Accumbens-area2551650,255,165,0,35,42495,0,0
,FreeSurfer_Defined_Medial_Wall,1,1,1,36,65793,1,0
,17Networks_1,120,18,134,37,8786552,1,0
,17Networks_2,255,0,0,38,255,1,0
,17Networks_3,70,130,180,39,11829830,1,0
,17Networks_4,42,204,164,40,10800170,1,0
,17Networks_5,74,155,60,41,3971914,1,0
,17Networks_6,0,118,14,42,947712,1,0
,17Networks_7,196,58,250,43,16399044,1,0
,17Networks_8,255,152,213,44,13998335,1,0
,17Networks_9,220,248,164,45,10811612,1,0
,17Networks_10,122,135,50,46,3311482,1,0
,17Networks_11,119,140,176,47,11570295,1,0
,17Networks_12,230,148,34,48,2266342,1,0
,17Networks_13,135,50,74,49,4862599,1,0
,17Networks_14,12,48,255,50,16723980,1,0
,17Networks_15,0,0,130,51,8519680,1,0
,17Networks_16,255,255,0,52,65535,1,0
,17Networks_17,205,62,78,53,5127885,1,0
